Normo,Under
1.9574468085106382,12.292682926829269
0.302158273381295,1.315068493150685
0.7755834829443448,1.0
0.0,0.549618320610687
0.3398230088495575,6.0
0.210896309314587,4.0
0.4819277108433735,4.363636363636364
0.2863961813842482,0.6153846153846154
0.0,0.6666666666666666
0.0,1.7704918032786887
0.08347826086956522,0.41379310344827586
0.0,1.2151898734177216
0.0,1.0140845070422535
0.5172413793103449,8.205128205128204
0.0,1.5203619909502262
0.13793103448275862,1.7349397590361446
0.050955414012738856,0.759493670886076
0.5603112840466926,5.010989010989011
0.04159445407279029,1.3846153846153848
0.5945945945945946,2.802919708029197
0.16941176470588237,0.32
0.13846153846153844,1.8045112781954886
0.05321507760532151,0.3692307692307692
0.17518248175182483,42.666666666666664
0.6736842105263158,2.167741935483871
0.12903225806451613,2.5531914893617023
1.3630831643002028,4.909090909090909
0.14814814814814814,0.6447761194029851
